Name,Year,Quarter,Count
lua,2012,4,574
emacs lisp,2012,4,542
typescript,2012,4,490
groovy,2012,4,394
nesc,2012,4,314
puppet,2012,4,222
elixir,2012,4,215
nix,2012,4,176
vim script,2012,4,169
viml,2012,4,148
coldfusion,2012,4,138
delphi,2012,4,127
scheme,2012,4,121
jupyter notebook,2012,4,119
tsql,2012,4,119
common lisp,2012,4,103
javascript,2013,1,32666
ruby,2013,1,30052
python,2013,1,29487
php,2013,1,23628
java,2013,1,16919
c++,2013,1,7240
c,2013,1,6405
c#,2013,1,3665
objective-c,2013,1,3572
shell,2013,1,2833
html,2013,1,2819
scala,2013,1,2804
css,2013,1,1865
coffeescript,2013,1,1582
go,2013,1,1341
perl,2013,1,1252
erlang,2013,1,961
emacs lisp,2013,1,950
typescript,2013,1,949
nesc,2013,1,828
haskell,2013,1,811
clojure,2013,1,643
groovy,2013,1,503
lua,2013,1,408
nix,2013,1,292
puppet,2013,1,288
objective-j,2013,1,251
vim script,2013,1,222
pascal,2013,1,177
sqf,2013,1,172
dm,2013,1,168
kotlin,2013,1,156
ocaml,2013,1,139
viml,2013,1,138
julia,2013,1,136
xslt,2013,1,129
jupyter notebook,2013,1,125
tsql,2013,1,121
smalltalk,2013,1,110
powershell,2013,1,107
coldfusion,2013,1,105
actionscript,2013,1,103
python,2013,2,38044
javascript,2013,2,37471
ruby,2013,2,33502
php,2013,2,25522
java,2013,2,17650
c++,2013,2,9943
c,2013,2,6657
c#,2013,2,4497
objective-c,2013,2,4175
html,2013,2,3897
shell,2013,2,2776
scala,2013,2,2757
perl,2013,2,2434
go,2013,2,2318
css,2013,2,2289
typescript,2013,2,1752
coffeescript,2013,2,1635
erlang,2013,2,1090
emacs lisp,2013,2,995
nesc,2013,2,863
dm,2013,2,844
lua,2013,2,800
haskell,2013,2,765
clojure,2013,2,640
groovy,2013,2,538
nix,2013,2,497
elixir,2013,2,467
puppet,2013,2,433
ocaml,2013,2,340
common lisp,2013,2,332
vim script,2013,2,300
kotlin,2013,2,202
dart,2013,2,185
tsql,2013,2,175
smalltalk,2013,2,174
jupyter notebook,2013,2,167
xslt,2013,2,151
viml,2013,2,150
julia,2013,2,140
vala,2013,2,139
scheme,2013,2,129
haxe,2013,2,123
powershell,2013,2,120
swift,2013,2,118
coldfusion,2013,2,117
raku,2013,2,113
rust,2013,2,112
pascal,2013,2,106
objective-j,2013,2,105
javascript,2013,3,46079
python,2013,3,44783
ruby,2013,3,37050
php,2013,3,28573
java,2013,3,22139
c++,2013,3,11878
c,2013,3,8062
c#,2013,3,5074
objective-c,2013,3,5025
html,2013,3,4455
css,2013,3,4448
scala,2013,3,3902
shell,2013,3,3769
go,2013,3,3584
typescript,2013,3,2179
coffeescript,2013,3,2004
perl,2013,3,1969
emacs lisp,2013,3,1425
erlang,2013,3,1117
lua,2013,3,1004
dm,2013,3,922
puppet,2013,3,916
haskell,2013,3,882
groovy,2013,3,815
clojure,2013,3,720
nix,2013,3,600
elixir,2013,3,540
ocaml,2013,3,447
viml,2013,3,414
kotlin,2013,3,393
jupyter notebook,2013,3,375
makefile,2013,3,353
vim script,2013,3,326
xslt,2013,3,268
tex,2013,3,249
dart,2013,3,240
nesc,2013,3,230
julia,2013,3,225
smalltalk,2013,3,188
rust,2013,3,177
tsql,2013,3,175
r,2013,3,159
assembly,2013,3,159
coldfusion,2013,3,159
scheme,2013,3,155
powershell,2013,3,144
common lisp,2013,3,139
mako,2013,3,134
d,2013,3,122
fortran,2013,3,122
haxe,2013,3,106
vala,2013,3,102
javascript,2013,4,58732
python,2013,4,54051
ruby,2013,4,42989
php,2013,4,35335
java,2013,4,29410
c++,2013,4,15174
c,2013,4,10537
c#,2013,4,7461
html,2013,4,7378
css,2013,4,6774
shell,2013,4,6515
objective-c,2013,4,6140
go,2013,4,5050
scala,2013,4,4550
coffeescript,2013,4,3670
typescript,2013,4,2513
erlang,2013,4,1747
perl,2013,4,1636
puppet,2013,4,1590
emacs lisp,2013,4,1468
groovy,2013,4,1141
lua,2013,4,1075
dm,2013,4,1068
haskell,2013,4,968
clojure,2013,4,855
ocaml,2013,4,718
nix,2013,4,691
nesc,2013,4,664
swift,2013,4,581
tex,2013,4,531
kotlin,2013,4,522
rust,2013,4,510
r,2013,4,475
dart,2013,4,422
julia,2013,4,387
jupyter notebook,2013,4,367
elixir,2013,4,348
scheme,2013,4,288
powershell,2013,4,286
makefile,2013,4,283
coldfusion,2013,4,262
f#,2013,4,244
xslt,2013,4,242
viml,2013,4,225
vim script,2013,4,220
logos,2013,4,158
smalltalk,2013,4,156
tsql,2013,4,150
d,2013,4,136
actionscript,2013,4,126
haxe,2013,4,104
javascript,2014,1,79285
python,2014,1,65225
ruby,2014,1,53443
php,2014,1,46231
java,2014,1,35787
c++,2014,1,20710
c,2014,1,13596
html,2014,1,9175
css,2014,1,8651
objective-c,2014,1,8044
c#,2014,1,7955
shell,2014,1,6908
go,2014,1,6673
scala,2014,1,6576
coffeescript,2014,1,4564
typescript,2014,1,3080
perl,2014,1,2335
lua,2014,1,2048
emacs lisp,2014,1,1993
erlang,2014,1,1909
clojure,2014,1,1724
groovy,2014,1,1600
dm,2014,1,1577
puppet,2014,1,1459
haskell,2014,1,1390
kotlin,2014,1,1341
nix,2014,1,1126
rust,2014,1,846
jupyter notebook,2014,1,777
nesc,2014,1,708
ocaml,2014,1,602
makefile,2014,1,586
swift,2014,1,585
dart,2014,1,569
julia,2014,1,557
f#,2014,1,550
elixir,2014,1,434
vim script,2014,1,418
powershell,2014,1,413
r,2014,1,373
tex,2014,1,372
scheme,2014,1,364
xslt,2014,1,356
tsql,2014,1,324
d,2014,1,313
viml,2014,1,270
plsql,2014,1,269
actionscript,2014,1,266
cmake,2014,1,262
haxe,2014,1,251
apex,2014,1,242
qml,2014,1,196
smalltalk,2014,1,191
fortran,2014,1,187
assembly,2014,1,161
pascal,2014,1,146
common lisp,2014,1,141
objective-c++,2014,1,138
pan,2014,1,132
vala,2014,1,130
coldfusion,2014,1,126
tcl,2014,1,105
mako,2014,1,102
javascript,2014,2,91650
python,2014,2,73924
ruby,2014,2,60784
php,2014,2,46812
java,2014,2,43988
c++,2014,2,24380
c,2014,2,14731
html,2014,2,13161
css,2014,2,10680
c#,2014,2,10549
go,2014,2,10016
scala,2014,2,8631
objective-c,2014,2,8399
shell,2014,2,7958
coffeescript,2014,2,5792
typescript,2014,2,4635
perl,2014,2,2567
rust,2014,2,2286
lua,2014,2,2126
erlang,2014,2,1961
haskell,2014,2,1740
clojure,2014,2,1698
nix,2014,2,1619
groovy,2014,2,1583
emacs lisp,2014,2,1579
puppet,2014,2,1444
dm,2014,2,1244
kotlin,2014,2,1176
jupyter notebook,2014,2,914
ocaml,2014,2,867
swift,2014,2,840
elixir,2014,2,736
r,2014,2,706
makefile,2014,2,628
f#,2014,2,614
dart,2014,2,588
tsql,2014,2,572
plsql,2014,2,571
julia,2014,2,553
fortran,2014,2,533
nesc,2014,2,507
vim script,2014,2,457
powershell,2014,2,427
scheme,2014,2,420
actionscript,2014,2,393
haxe,2014,2,383
tex,2014,2,375
xslt,2014,2,323
viml,2014,2,279
smalltalk,2014,2,277
d,2014,2,260
assembly,2014,2,258
apex,2014,2,216
coldfusion,2014,2,198
liquid,2014,2,171
pascal,2014,2,149
sqlpl,2014,2,138
objective-c++,2014,2,132
racket,2014,2,129
sql,2014,2,123
objective-j,2014,2,115
common lisp,2014,2,113
vim snippet,2014,2,110
cmake,2014,2,109
common workflow language,2014,2,107
eagle,2014,2,106
vala,2014,2,105
protocol buffer,2014,2,104
qml,2014,2,103
standard ml,2014,2,102
javascript,2014,3,109364
python,2014,3,82053
ruby,2014,3,67387
php,2014,3,53112
java,2014,3,49765
c++,2014,3,29235
go,2014,3,16910
html,2014,3,16756
c,2014,3,16625
c#,2014,3,11871
css,2014,3,11732
scala,2014,3,10910
shell,2014,3,10511
objective-c,2014,3,8385
coffeescript,2014,3,6112
typescript,2014,3,5370
rust,2014,3,3500
perl,2014,3,2991
lua,2014,3,2622
swift,2014,3,2613
haskell,2014,3,2523
clojure,2014,3,2482
nix,2014,3,2066
groovy,2014,3,1814
erlang,2014,3,1804
puppet,2014,3,1580
emacs lisp,2014,3,1535
makefile,2014,3,1393
dm,2014,3,1388
jupyter notebook,2014,3,1126
elixir,2014,3,1073
kotlin,2014,3,1056
plsql,2014,3,1000
ocaml,2014,3,857
julia,2014,3,768
f#,2014,3,689
actionscript,2014,3,634
dart,2014,3,579
r,2014,3,561
powershell,2014,3,552
fortran,2014,3,511
d,2014,3,466
tsql,2014,3,423
scheme,2014,3,372
tex,2014,3,347
vim script,2014,3,321
xslt,2014,3,278
smalltalk,2014,3,243
common lisp,2014,3,240
apex,2014,3,238
viml,2014,3,234
haxe,2014,3,232
coldfusion,2014,3,219
assembly,2014,3,214
cmake,2014,3,205
pascal,2014,3,167
scss,2014,3,154
liquid,2014,3,147
xquery,2014,3,145
objective-j,2014,3,143
dockerfile,2014,3,139
tcl,2014,3,138
qml,2014,3,134
gcc machine description,2014,3,131
plpgsql,2014,3,123
protocol buffer,2014,3,118
vala,2014,3,116
vim snippet,2014,3,116
xtend,2014,3,109
matlab,2014,3,105
apacheconf,2014,3,103
common workflow language,2014,3,102
arduino,2014,3,102
javascript,2014,4,122908
python,2014,4,92612
ruby,2014,4,74442
java,2014,4,57996
php,2014,4,56585
c++,2014,4,32035
go,2014,4,20395
c,2014,4,19354
html,2014,4,17772
c#,2014,4,14199
css,2014,4,13352
shell,2014,4,11773
scala,2014,4,10851
objective-c,2014,4,8353
typescript,2014,4,7015
coffeescript,2014,4,5697
rust,2014,4,5462
swift,2014,4,3406
perl,2014,4,3240
clojure,2014,4,2734
lua,2014,4,2728
haskell,2014,4,2645
kotlin,2014,4,2328
dm,2014,4,2144
erlang,2014,4,2084
puppet,2014,4,1949
nix,2014,4,1885
emacs lisp,2014,4,1815
groovy,2014,4,1675
makefile,2014,4,1539
plsql,2014,4,1113
ocaml,2014,4,968
f#,2014,4,968
jupyter notebook,2014,4,865
elixir,2014,4,827
r,2014,4,813
tsql,2014,4,803
powershell,2014,4,676
yaml,2014,4,673
julia,2014,4,669
vim script,2014,4,576
visual basic,2014,4,548
tex,2014,4,547
dart,2014,4,539
xslt,2014,4,527
cmake,2014,4,492
fortran,2014,4,467
scss,2014,4,447
gherkin,2014,4,425
d,2014,4,354
json,2014,4,312
haxe,2014,4,311
scheme,2014,4,303
smalltalk,2014,4,285
purescript,2014,4,256
common lisp,2014,4,252
viml,2014,4,230
coldfusion,2014,4,227
actionscript,2014,4,222
apacheconf,2014,4,221
ooc,2014,4,212
dockerfile,2014,4,209
apex,2014,4,186
qml,2014,4,178
matlab,2014,4,168
standard ml,2014,4,161
pascal,2014,4,139
xquery,2014,4,138
sqlpl,2014,4,133
objective-j,2014,4,126
sqf,2014,4,126
postscript,2014,4,125
protocol buffer,2014,4,119
matlab,2014,4,117
tcl,2014,4,110
asp,2014,4,104
gcc machine description,2014,4,103
assembly,2014,4,100
javascript,2015,1,159184
python,2015,1,119803
ruby,2015,1,92148
java,2015,1,79605
php,2015,1,74671
c++,2015,1,39024
go,2015,1,30419
html,2015,1,27733
c,2015,1,23609
c#,2015,1,22963
css,2015,1,16878
shell,2015,1,15493
scala,2015,1,13536
objective-c,2015,1,11216
typescript,2015,1,9668
rust,2015,1,8089
coffeescript,2015,1,6802
swift,2015,1,4813
perl,2015,1,3933
lua,2015,1,3560
clojure,2015,1,3488
haskell,2015,1,3244
erlang,2015,1,2602
dm,2015,1,2596
makefile,2015,1,2485
puppet,2015,1,2480
nix,2015,1,2404
groovy,2015,1,2364
emacs lisp,2015,1,2274
kotlin,2015,1,1823
r,2015,1,1577
jupyter notebook,2015,1,1568
ocaml,2015,1,1175
dart,2015,1,1147
elixir,2015,1,1068
tsql,2015,1,971
powershell,2015,1,962
julia,2015,1,950
yaml,2015,1,938
f#,2015,1,872
visual basic,2015,1,830
vim script,2015,1,637
tex,2015,1,635
apacheconf,2015,1,589
fortran,2015,1,575
scheme,2015,1,562
plsql,2015,1,477
thrift,2015,1,467
haxe,2015,1,450
dockerfile,2015,1,422
purescript,2015,1,411
xslt,2015,1,404
qml,2015,1,399
scss,2015,1,360
viml,2015,1,357
d,2015,1,342
common lisp,2015,1,337
sqf,2015,1,326
assembly,2015,1,324
cmake,2015,1,315
coldfusion,2015,1,310
plpgsql,2015,1,272
vala,2015,1,267
apex,2015,1,251
matlab,2015,1,237
smalltalk,2015,1,231
gherkin,2015,1,229
tcl,2015,1,218
actionscript,2015,1,212
eagle,2015,1,207
standard ml,2015,1,204
objective-c++,2015,1,199
json,2015,1,188
hcl,2015,1,186
postscript,2015,1,179
ooc,2015,1,177
asp,2015,1,174
matlab,2015,1,165
sourcepawn,2015,1,159
rich text format,2015,1,157
xquery,2015,1,149
racket,2015,1,149
pascal,2015,1,147
processing,2015,1,145
arduino,2015,1,143
saltstack,2015,1,142
elm,2015,1,140
batchfile,2015,1,137
raku,2015,1,137
perl 6,2015,1,134
smarty,2015,1,134
liquid,2015,1,127
groff,2015,1,126
hack,2015,1,113
cweb,2015,1,107
objective-j,2015,1,106
javascript,2015,2,187618
python,2015,2,138537
java,2015,2,99768
ruby,2015,2,96362
php,2015,2,79571
c++,2015,2,44827
go,2015,2,41655
html,2015,2,33482
c#,2015,2,28183
c,2015,2,26825
shell,2015,2,18703
css,2015,2,18224
scala,2015,2,15854
typescript,2015,2,14616
objective-c,2015,2,12864
rust,2015,2,8456
coffeescript,2015,2,8071
swift,2015,2,7354
lua,2015,2,4152
clojure,2015,2,3800
perl,2015,2,3783
haskell,2015,2,3647
erlang,2015,2,3246
dm,2015,2,3008
groovy,2015,2,2826
kotlin,2015,2,2540
nix,2015,2,2331
powershell,2015,2,2110
emacs lisp,2015,2,2039
puppet,2015,2,1938
dart,2015,2,1802
makefile,2015,2,1757
elixir,2015,2,1725
yaml,2015,2,1710
jupyter notebook,2015,2,1668
r,2015,2,1600
ocaml,2015,2,1497
julia,2015,2,1296
visual basic,2015,2,975
f#,2015,2,965
thrift,2015,2,943
tex,2015,2,926
tsql,2015,2,836
dockerfile,2015,2,683
fortran,2015,2,664
vim script,2015,2,651
haxe,2015,2,587
purescript,2015,2,584
processing,2015,2,532
json,2015,2,532
xslt,2015,2,500
cmake,2015,2,488
scss,2015,2,478
scheme,2015,2,474
viml,2015,2,442
matlab,2015,2,405
apacheconf,2015,2,390
d,2015,2,380
vala,2015,2,380
autoit,2015,2,355
qml,2015,2,353
smalltalk,2015,2,332
plpgsql,2015,2,329
actionscript,2015,2,302
plsql,2015,2,283
common lisp,2015,2,277
ooc,2015,2,273
matlab,2015,2,271
apex,2015,2,269
perl 6,2015,2,265
sqf,2015,2,265
assembly,2015,2,254
objective-c++,2015,2,250
hcl,2015,2,247
mustache,2015,2,247
perl6,2015,2,215
racket,2015,2,205
gherkin,2015,2,205
standard ml,2015,2,196
elm,2015,2,183
pascal,2015,2,172
groff,2015,2,165
postscript,2015,2,163
raku,2015,2,157
cuda,2015,2,151
gdscript,2015,2,143
protocol buffer,2015,2,136
coldfusion,2015,2,129
verilog,2015,2,119
jsonnet,2015,2,116
arduino,2015,2,115
sqlpl,2015,2,114
gcc machine description,2015,2,113
javascript,2015,3,217971
python,2015,3,158188
java,2015,3,106372
ruby,2015,3,103950
php,2015,3,86688
go,2015,3,51552
c++,2015,3,47984
html,2015,3,45419
c#,2015,3,33214
c,2015,3,30865
shell,2015,3,25053
css,2015,3,24588
typescript,2015,3,18350
scala,2015,3,16127
objective-c,2015,3,14562
swift,2015,3,10089
coffeescript,2015,3,8613
rust,2015,3,6808
clojure,2015,3,4907
lua,2015,3,4095
haskell,2015,3,3769
erlang,2015,3,3696
perl,2015,3,3667
dm,2015,3,3306
jupyter notebook,2015,3,3225
groovy,2015,3,2865
powershell,2015,3,2538
nix,2015,3,2511
kotlin,2015,3,2500
elixir,2015,3,2437
r,2015,3,2307
julia,2015,3,2239
emacs lisp,2015,3,2163
puppet,2015,3,1994
makefile,2015,3,1925
dart,2015,3,1457
apacheconf,2015,3,1320
yaml,2015,3,1284
ocaml,2015,3,1237
visual basic,2015,3,1232
tsql,2015,3,1099
tex,2015,3,1064
f#,2015,3,1060
thrift,2015,3,1034
dockerfile,2015,3,924
cmake,2015,3,806
purescript,2015,3,712
vim script,2015,3,680
xslt,2015,3,589
matlab,2015,3,486
d,2015,3,470
scss,2015,3,458
ooc,2015,3,446
haxe,2015,3,428
fortran,2015,3,421
gherkin,2015,3,415
qml,2015,3,398
plpgsql,2015,3,394
viml,2015,3,388
elm,2015,3,364
standard ml,2015,3,350
actionscript,2015,3,338
objective-c++,2015,3,333
smalltalk,2015,3,324
racket,2015,3,312
pascal,2015,3,300
vala,2015,3,299
matlab,2015,3,295
scheme,2015,3,294
sqf,2015,3,294
common lisp,2015,3,265
hcl,2015,3,258
mirc script,2015,3,253
saltstack,2015,3,251
batchfile,2015,3,248
coldfusion,2015,3,236
json,2015,3,232
gcc machine description,2015,3,228
raku,2015,3,211
assembly,2015,3,209
apex,2015,3,198
perl 6,2015,3,176
crystal,2015,3,170
protocol buffer,2015,3,168
arduino,2015,3,166
processing,2015,3,165
bitbake,2015,3,160
vue,2015,3,157
jinja,2015,3,156
sourcepawn,2015,3,144
groff,2015,3,137
roff,2015,3,137
mustache,2015,3,129
cuda,2015,3,121
eagle,2015,3,104
idl,2015,3,104
plsql,2015,3,102
mathematica,2015,3,101
javascript,2015,4,276229
python,2015,4,168664
ruby,2015,4,124970
java,2015,4,122191
php,2015,4,99509
go,2015,4,59519
c++,2015,4,57276
html,2015,4,55186
c#,2015,4,39029
c,2015,4,32850
shell,2015,4,26602
css,2015,4,26552
typescript,2015,4,23795
scala,2015,4,16244
objective-c,2015,4,15228
swift,2015,4,13527
coffeescript,2015,4,8830
rust,2015,4,6159
clojure,2015,4,5971
lua,2015,4,4545
dm,2015,4,4401
perl,2015,4,4022
jupyter notebook,2015,4,3731
haskell,2015,4,3503
kotlin,2015,4,3444
erlang,2015,4,3433
makefile,2015,4,3353
groovy,2015,4,3144
nix,2015,4,2970
powershell,2015,4,2932
elixir,2015,4,2779
emacs lisp,2015,4,2605
dart,2015,4,2299
r,2015,4,2173
visual basic,2015,4,2032
puppet,2015,4,1976
f#,2015,4,1854
julia,2015,4,1731
tex,2015,4,1683
ocaml,2015,4,1597
apacheconf,2015,4,1550
ooc,2015,4,1195
dockerfile,2015,4,1096
yaml,2015,4,1056
vim script,2015,4,947
assembly,2015,4,857
tsql,2015,4,838
cmake,2015,4,641
purescript,2015,4,637
scss,2015,4,602
fortran,2015,4,575
haxe,2015,4,572
common lisp,2015,4,566
perl 6,2015,4,551
matlab,2015,4,490
xslt,2015,4,481
objective-c++,2015,4,474
elm,2015,4,444
scheme,2015,4,427
plpgsql,2015,4,402
viml,2015,4,399
raku,2015,4,398
qml,2015,4,396
d,2015,4,376
actionscript,2015,4,352
hcl,2015,4,350
matlab,2015,4,341
smalltalk,2015,4,336
batchfile,2015,4,333
apex,2015,4,325
pascal,2015,4,300
racket,2015,4,297
gherkin,2015,4,291
standard ml,2015,4,285
crystal,2015,4,273
json,2015,4,269
perl6,2015,4,261
coldfusion,2015,4,252
protocol buffer,2015,4,248
arduino,2015,4,247
saltstack,2015,4,241
vue,2015,4,223
sqf,2015,4,209
gcc machine description,2015,4,180
smarty,2015,4,180
sourcepawn,2015,4,176
bitbake,2015,4,172
vala,2015,4,168
eiffel,2015,4,168
tcl,2015,4,166
jinja,2015,4,165
eagle,2015,4,165
jsonnet,2015,4,161
openedge abl,2015,4,152
roff,2015,4,149
llvm,2015,4,148
glsl,2015,4,145
markdown,2015,4,145
processing,2015,4,141
postscript,2015,4,139
groff,2015,4,138
web ontology language,2015,4,128
mirc script,2015,4,124
slash,2015,4,122
fortran,2015,4,115
api blueprint,2015,4,106
common workflow language,2015,4,105
plsql,2015,4,105
idl,2015,4,105
javascript,2016,1,354843
python,2016,1,191398
java,2016,1,140080
ruby,2016,1,137821
php,2016,1,109603
go,2016,1,72346
c++,2016,1,67634
html,2016,1,63078
c#,2016,1,40577
c,2016,1,36877
css,2016,1,34210
typescript,2016,1,32257
shell,2016,1,29124
scala,2016,1,20215
objective-c,2016,1,17666
swift,2016,1,17485
coffeescript,2016,1,9333
rust,2016,1,8683
lua,2016,1,5523
jupyter notebook,2016,1,5124
clojure,2016,1,5091
dm,2016,1,4698
perl,2016,1,4669
kotlin,2016,1,4585
groovy,2016,1,4243
makefile,2016,1,3749
visual basic,2016,1,3632
powershell,2016,1,3552
nix,2016,1,3522
elixir,2016,1,3511
erlang,2016,1,3443
haskell,2016,1,3349
r,2016,1,3086
puppet,2016,1,2985
dart,2016,1,2819
emacs lisp,2016,1,2533
ocaml,2016,1,2190
tex,2016,1,2065
f#,2016,1,1638
julia,2016,1,1442
dockerfile,2016,1,1257
yaml,2016,1,1256
vim script,2016,1,1107
ooc,2016,1,881
fortran,2016,1,809
haxe,2016,1,804
scss,2016,1,726
purescript,2016,1,713
xslt,2016,1,696
tsql,2016,1,685
matlab,2016,1,669
smalltalk,2016,1,651
cmake,2016,1,638
common lisp,2016,1,638
elm,2016,1,617
d,2016,1,601
vue,2016,1,597
matlab,2016,1,587
objective-c++,2016,1,582
glsl,2016,1,472
crystal,2016,1,456
hcl,2016,1,446
vala,2016,1,421
pascal,2016,1,420
apex,2016,1,399
perl 6,2016,1,392
assembly,2016,1,392
coldfusion,2016,1,391
qml,2016,1,386
scheme,2016,1,377
robotframework,2016,1,373
objective-j,2016,1,371
webassembly,2016,1,368
plpgsql,2016,1,353
markdown,2016,1,340
arduino,2016,1,339
viml,2016,1,331
batchfile,2016,1,326
jsonnet,2016,1,316
gherkin,2016,1,314
sqf,2016,1,307
bitbake,2016,1,279
standard ml,2016,1,278
api blueprint,2016,1,277
saltstack,2016,1,267
nim,2016,1,265
cucumber,2016,1,262
mirc script,2016,1,261
roff,2016,1,243
sourcepawn,2016,1,242
protocol buffer,2016,1,224
actionscript,2016,1,221
tcl,2016,1,211
apacheconf,2016,1,206
json,2016,1,201
cuda,2016,1,198
eagle,2016,1,182
raku,2016,1,175
racket,2016,1,174
jinja,2016,1,169
systemverilog,2016,1,158
plsql,2016,1,157
processing,2016,1,149
game maker language,2016,1,149
smarty,2016,1,148
nsis,2016,1,144
sqlpl,2016,1,134
xtend,2016,1,131
nginx,2016,1,128
mathematica,2016,1,128
mustache,2016,1,127
livescript,2016,1,126
verilog,2016,1,123
eiffel,2016,1,120
rascal,2016,1,118
stylus,2016,1,114
yara,2016,1,112
gcc machine description,2016,1,112
ceylon,2016,1,111
postscript,2016,1,110
modelica,2016,1,107
perl6,2016,1,105
moonscript,2016,1,101
javascript,2016,2,373028
python,2016,2,201763
java,2016,2,145221
ruby,2016,2,108650
php,2016,2,106539
go,2016,2,74733
c++,2016,2,69711
html,2016,2,61002
c#,2016,2,43169
typescript,2016,2,42717
c,2016,2,36068
css,2016,2,31216
shell,2016,2,30939
scala,2016,2,21732
swift,2016,2,19736
objective-c,2016,2,13456
rust,2016,2,9310
coffeescript,2016,2,8248
clojure,2016,2,5408
lua,2016,2,5357
dm,2016,2,5241
groovy,2016,2,4978
kotlin,2016,2,4883
jupyter notebook,2016,2,4604
elixir,2016,2,4342
perl,2016,2,4202
haskell,2016,2,3581
makefile,2016,2,3540
erlang,2016,2,3540
nix,2016,2,3451
r,2016,2,3171
powershell,2016,2,3163
dart,2016,2,2630
visual basic,2016,2,2554
ocaml,2016,2,2528
tex,2016,2,2498
puppet,2016,2,2299
emacs lisp,2016,2,2232
f#,2016,2,1920
julia,2016,2,1760
yaml,2016,2,1545
common lisp,2016,2,1309
vim script,2016,2,1255
dockerfile,2016,2,1188
tsql,2016,2,1018
cmake,2016,2,937
scss,2016,2,873
elm,2016,2,714
matlab,2016,2,689
objective-c++,2016,2,655
plpgsql,2016,2,626
haxe,2016,2,626
purescript,2016,2,625
fortran,2016,2,611
hcl,2016,2,594
xslt,2016,2,556
vue,2016,2,540
gherkin,2016,2,539
matlab,2016,2,513
webassembly,2016,2,512
smalltalk,2016,2,490
bitbake,2016,2,467
d,2016,2,466
tcl,2016,2,465
ooc,2016,2,440
scheme,2016,2,419
qml,2016,2,417
robotframework,2016,2,410
glsl,2016,2,401
perl 6,2016,2,394
arduino,2016,2,393
sqf,2016,2,391
crystal,2016,2,389
batchfile,2016,2,381
sourcepawn,2016,2,356
mustache,2016,2,337
markdown,2016,2,333
roff,2016,2,311
json,2016,2,301
pascal,2016,2,301
plsql,2016,2,298
coldfusion,2016,2,296
vala,2016,2,276
apex,2016,2,254
prolog,2016,2,252
postscript,2016,2,239
nim,2016,2,239
api blueprint,2016,2,233
protocol buffer,2016,2,232
sqlpl,2016,2,228
rascal,2016,2,222
assembly,2016,2,215
actionscript,2016,2,207
asp,2016,2,206
raku,2016,2,206
jsonnet,2016,2,206
